City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
193,Iguape,BR,2022-05-08 17:14:20,-24.7081,-47.5553,72.03,66,62,8.39
194,Geraldton,AU,2022-05-08 17:14:20,-28.7667,114.6,59.41,88,40,4.61
195,Traiguen,CL,2022-05-08 17:14:21,-38.25,-72.6833,55.4,78,75,2.8
196,Goderich,CA,2022-05-08 17:10:05,43.7501,-81.7165,52.92,54,0,11.21
197,Ullapool,GB,2022-05-08 17:14:22,57.8987,-5.1604,62.35,59,97,7.0
198,San Cristobal,VE,2022-05-08 17:14:22,7.7669,-72.225,82.58,50,58,8.34
199,Torrington,US,2022-05-08 17:09:24,41.8007,-73.1212,59.58,47,100,8.99
200,Grand Gaube,MU,2022-05-08 17:14:23,-20.0064,57.6608,75.6,78,4,1.99
201,Upington,ZA,2022-05-08 17:14:23,-28.4478,21.2561,59.76,34,4,2.66
202,Xuddur,SO,2022-05-08 17:14:24,4.1213,43.8894,84.36,51,98,13.0
203,Inta,RU,2022-05-08 17:14:24,66.0317,60.1659,46.87,78,81,15.68
204,Yar-Sale,RU,2022-05-08 17:14:25,66.8333,70.8333,34.92,100,100,11.23
205,Bosaso,SO,2022-05-08 17:14:25,11.2842,49.1816,84.72,71,8,1.9
206,Saint-Pierre,RE,2022-05-08 17:14:26,-21.3393,55.4781,73.9,78,0,3.44
207,Morant Bay,JM,2022-05-08 17:14:27,17.8815,-76.4093,87.71,66,66,9.95
208,San Pedro,PH,2022-05-08 17:14:27,14.35,121.0167,83.43,75,20,3.44
209,Roald,NO,2022-05-08 17:14:28,62.5833,6.1333,52.72,71,0,10.36
210,San Luis,AR,2022-05-08 17:10:23,-33.295,-66.3356,75.13,34,98,6.73
211,Negombo,LK,2022-05-08 17:14:28,7.2083,79.8358,83.64,87,100,13.0
212,Adilabad,IN,2022-05-08 17:14:29,19.6667,78.5333,97.05,14,36,4.36
213,Santa Cruz,BO,2022-05-08 17:14:29,-17.8,-63.1667,86.05,42,40,14.97
214,Lagoa,PT,2022-05-08 17:14:30,39.05,-27.9833,61.81,70,91,9.17
215,Banda Aceh,ID,2022-05-08 17:14:30,5.5577,95.3222,81.1,80,100,8.12
216,Mogadishu,SO,2022-05-08 17:09:54,2.0371,45.3438,82.74,83,85,19.1
217,Dire Dawa,ET,2022-05-08 17:12:12,9.5931,41.8661,78.31,37,33,6.31
218,Fiumicino,IT,2022-05-08 17:14:31,41.7675,12.2291,68.95,56,20,6.91
219,Riyadh,SA,2022-05-08 17:10:03,24.6877,46.7219,86.14,12,0,14.25
